ds,yhat,yhat_lower,yhat_upper
2025-01-31,-76915.21569243917,-80243.42946385,-73353.89534863879
2025-02-28,-310343.46715921804,-331000.1436149494,-288475.39729390235
2025-03-31,-594818.8798016172,-650695.104291555,-538194.8604085131
2025-04-30,-564116.8624466902,-631304.4038441828,-498474.3043585679
2025-05-31,-240977.81467771577,-275378.7574550735,-206451.28500705227
2025-06-30,8383541.454753544,6994125.235473121,9776283.994134048
2025-07-31,289432.02431140625,236946.50457938566,342665.2455177431
2025-08-31,-1430698.925606739,-1719474.4853155902,-1148404.9826030582
2025-09-30,5334650.750587085,4182400.4067607974,6542242.866473681
2025-10-31,-1135709.0214343248,-1418833.306963194,-870336.9734071846
2025-11-30,297291.9245707423,222666.01552557273,376056.0485139892
2025-12-31,2668874.469161306,1961999.59012047,3414895.5860247826
