ds,yhat,yhat_lower,yhat_upper
2025-01-31,254999105.1717095,247912243.6938154,262438898.4079571
2025-02-28,59983151.46335664,53374394.512819186,66830601.57239295
2025-03-31,63085063.66347494,54011028.83867763,73505652.58938529
2025-04-30,49146186.81117095,38473125.45664774,59689095.520984106
2025-05-31,68151725.82013729,48290545.75862433,88086153.44655246
2025-06-30,51281062.59376829,31733956.56609906,71440538.80939314
2025-07-31,70987750.2603313,36712941.95185625,105709750.37656856
2025-08-31,80601512.13100901,34861169.56574648,129464309.62865356
2025-09-30,70286688.60104933,23387166.083295833,119153065.99940123
2025-10-31,83959309.12797524,20350578.73748013,151496389.66244704
2025-11-30,61751981.438945584,4884950.78920608,117665977.06246713
2025-12-31,104242748.61858262,-3446813.37455152,215255820.66919705
