ds,yhat,yhat_lower,yhat_upper
2025-01-31,-241804880.75882265,-248464005.1721293,-234596263.341808
2025-02-28,-874595591.4321839,-882649511.3249761,-867600808.8049566
2025-03-31,-337951146.17667896,-345055389.3860533,-330994886.0505403
2025-04-30,-422596174.9266682,-430741708.519836,-414889714.7323853
2025-05-31,-439476540.65264136,-448053671.52983356,-430919044.1444759
2025-06-30,-504594006.9192277,-515251291.9514602,-495320458.97976345
2025-07-31,-344160428.04190713,-354140575.19349796,-334473669.734921
2025-08-31,-120783498.6319346,-128474639.59562665,-112974650.63256393
2025-09-30,-192829204.15251893,-201141764.8735927,-184393846.05531108
2025-10-31,-135296595.70897362,-143665426.22779718,-127115548.66281646
2025-11-30,-427491910.1070588,-443751029.6378469,-412215054.11391073
2025-12-31,-204053156.11418682,-214813191.91461453,-194051577.76385874
