ds,yhat,yhat_lower,yhat_upper
2025-01-31,2091197.2019222372,1447307.2258201137,2779803.172644514
2025-02-28,-4160927.2295698244,-5104868.295858047,-3213646.5823096735
2025-03-31,-1434082.663096903,-2293953.2390899695,-563222.4217971365
2025-04-30,-5867593.9414498685,-9554383.552692786,-2277559.202764856
2025-05-31,-2847408.2053047917,-5471513.733448508,-199317.3861681761
2025-06-30,-3842066.169065732,-9046658.458266605,1237052.904512628
2025-07-31,-2276732.112743373,-6483244.486825238,1804558.363316541
2025-08-31,804728.9906316107,-1169343.5941655738,2823367.628667264
2025-09-30,-1885458.3983315718,-7768529.395582201,3396894.4704897585
2025-10-31,727769.5415628286,-1981903.011514705,3626573.7625323255
2025-11-30,-1079717.6601869653,-6171442.584482439,3765887.6322038304
2025-12-31,850661.6060250603,-4102034.300906846,5786399.532354823
