ds,yhat,yhat_lower,yhat_upper
2025-01-31,-12492211.218129827,-12492211.220146269,-12492211.216285666
2025-02-28,-2449683.6095343013,-2449683.6123254835,-2449683.6071935105
2025-03-31,5258415.9882477615,5251949.00561282,5267142.737159239
2025-04-30,1575252.1959182376,1556334.963593727,1596353.4251398954
2025-05-31,29147.498904320164,25239.471472436882,33299.89165002627
2025-06-30,109701.61509779586,99928.79460059744,119716.888079999
2025-07-31,-542918.4487640592,-572011.3424685617,-512296.3712987422
2025-08-31,-2403067.3605967257,-2509552.9644066733,-2280844.169087665
2025-09-30,1448754.766094409,1381571.215230466,1509524.3858835408
2025-10-31,-4381892.422846094,-4561558.313489107,-4188282.1031763786
2025-11-30,-17818572.4786395,-18540514.350754835,-17021556.395001624
2025-12-31,1334684.9583673256,1275149.6457837096,1387935.6025758819
