ds,yhat,yhat_lower,yhat_upper
2025-01-31,7041852.557313585,5791700.508979116,8434979.933145113
2025-02-28,5841313.727689594,4413885.028835549,7192233.734435216
2025-03-31,7886804.7270568,6041093.07520082,9761877.917705214
2025-04-30,6017439.5884171715,3610862.0082718446,8136622.336544857
2025-05-31,10197201.173056316,5537990.049626873,14764830.771838224
2025-06-30,6146705.485020285,2616849.4184269286,9884579.099649481
2025-07-31,6761987.902313433,1969251.6183376473,11968925.513165861
2025-08-31,7232935.116425274,490251.01373589167,13699020.356364405
2025-09-30,6384478.2972020125,-645774.8698343819,13331986.28175902
2025-10-31,8005597.110251315,-2324744.4220378664,18291905.880556773
2025-11-30,6487094.070947811,-3605288.682852659,16334578.966142306
2025-12-31,7049989.171128625,-5674843.114244441,19909913.42159112
