ds,yhat,yhat_lower,yhat_upper
2025-01-31,750173.5407574225,653747.7204574015,852381.8439406167
2025-02-28,-108289.02079436641,-229112.8118267038,11316.357612203657
2025-03-31,112128.82806910925,-90690.20273337136,316064.39666215895
2025-04-30,358659.5218844118,18993.328625429367,697496.1918329289
2025-05-31,565202.7151131786,122298.69158602614,1020767.3884970443
2025-06-30,867609.0649670619,219192.53879764045,1511765.3668290048
2025-07-31,979856.42710079,248408.95887190985,1706727.36445269
2025-08-31,1904030.895311203,466426.1399066945,3287080.712418686
2025-09-30,1437766.7297933747,313953.2379844835,2511628.3285672255
2025-10-31,2552706.2975340276,476860.0215362206,4453249.272666563
2025-11-30,1796828.4207325052,315421.03077342134,3196841.7736401665
2025-12-31,-5517.114026549794,-77801.14274553122,64851.490243402724
