ds,yhat,yhat_lower,yhat_upper
2025-01-31,209689154.48304102,201241619.95064226,220080237.61906826
2025-02-28,164918347.15634358,146210753.73701698,188543011.91198125
2025-03-31,175872551.6910015,133437670.00130442,225913754.9507237
2025-04-30,155649338.71194145,96221467.15262647,228532827.04574424
2025-05-31,175273070.90185446,77251933.2792727,286946833.17793465
2025-06-30,148422772.53515038,35343938.97485221,270054805.6519903
2025-07-31,171996687.94600317,3629602.0711915116,344413431.870728
2025-08-31,185074329.15686226,-31111142.52407357,413997581.0002127
2025-09-30,177929429.75255597,-72885960.07317582,434112340.2301804
2025-10-31,191603659.21800715,-110653892.39984809,508613098.59508085
2025-11-30,177237049.67722723,-155012250.6444747,505262479.64864784
2025-12-31,305056066.44358563,-334464020.68130636,938875228.3536686
