ds,yhat,yhat_lower,yhat_upper
2025-01-31,13888533.985176759,12922901.981879335,14795525.350897018
2025-02-28,-25313547.587374326,-26098127.829600662,-24397893.52373983
2025-03-31,-4130095.440948338,-5042318.700543799,-3234042.914228954
2025-04-30,-22186599.00147845,-23101640.420287825,-21256616.40778885
2025-05-31,-15464908.516827082,-16337837.007469192,-14562553.126546947
2025-06-30,-11510534.957704114,-12402640.20891523,-10645215.48181177
2025-07-31,-10693878.127613766,-11569928.136493051,-9853052.04429523
2025-08-31,-31054950.522371843,-32134362.938730415,-30072809.120077826
2025-09-30,25502996.904011726,24494194.688193534,26518449.036045942
2025-10-31,-5478609.527262571,-6428696.0409845,-4561231.4032586
2025-11-30,-24731770.54781065,-25789777.06904646,-23611069.660035644
2025-12-31,-4391057.238766273,-5390835.555418628,-3486779.7183478354
